EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1741073;0;GR;3901;Chur;Oberalpstrasse;18;7000;0;Chur;2759149.219;1191408.229;de
1741074;0;GR;3901;Chur;Oberalpstrasse;22;7000;0;Chur;2759121.389;1191411.618;de
1741075;0;GR;3901;Chur;Oberalpstrasse;24;7000;0;Chur;2759103.833;1191402.071;de
1741076;0;GR;3901;Chur;Oberalpstrasse;25;7000;0;Chur;2759068.841;1191377.153;de
1741077;0;GR;3901;Chur;Oberalpstrasse;30;7000;0;Chur;2759005.388;1191412.412;de
1741078;0;GR;3901;Chur;Oberalpstrasse;32;7000;0;Chur;2758984.725;1191408.718;de
1741079;0;GR;3901;Chur;Oberalpstrasse;33;7000;0;Chur;2758985.069;1191388.798;de
1741080;0;GR;3901;Chur;Oberalpstrasse;34;7000;0;Chur;2758967.745;1191411.755;de
1741081;0;GR;3901;Chur;Oberalpstrasse;35;7000;0;Chur;2758961.324;1191386.256;de
1741082;0;GR;3901;Chur;Oberalpstrasse;36;7000;0;Chur;2758947.585;1191409.818;de
1741083;0;GR;3901;Chur;Oberalpstrasse;38;7000;0;Chur;2758919.64;1191400.562;de
1741084;0;GR;3901;Chur;Oberalpstrasse;40;7000;0;Chur;2758898.942;1191400.22;de
1741085;0;GR;3901;Chur;Oberalpstrasse;42;7000;0;Chur;2758878.93;1191397.132;de
1741086;0;GR;3901;Chur;Sennensteinstrasse;3;7000;0;Chur;2759011.356;1191433.311;de
1741087;0;GR;3901;Chur;Sennensteinstrasse;9;7000;0;Chur;2758982.447;1191466.504;de
1741088;0;GR;3901;Chur;Sennensteinstrasse;11;7000;0;Chur;2758967.431;1191485.201;de
1741089;0;GR;3901;Chur;Sennensteinstrasse;15;7000;0;Chur;2758944.658;1191503.279;de
1741090;0;GR;3901;Chur;Sennensteinstrasse;17;7000;0;Chur;2758926.913;1191527.921;de
1741091;0;GR;3901;Chur;Sennensteinstrasse;19;7000;0;Chur;2758914.717;1191542.767;de
1741092;0;GR;3901;Chur;Sennensteinstrasse;21;7000;0;Chur;2758902.238;1191551.785;de
1741093;0;GR;3901;Chur;Sennensteinstrasse;22;7000;0;Chur;2758869.501;1191626.811;de
1741094;0;GR;3901;Chur;Sennensteinstrasse;23;7000;0;Chur;2758889.242;1191567.164;de
1741095;0;GR;3901;Chur;Flüelaweg;6;7000;0;Chur;2758792.841;1191560.683;de
1741096;0;GR;3901;Chur;Sennensteinstrasse;24;7000;0;Chur;2758880.82;1191627.664;de
1741097;0;GR;3901;Chur;Sennensteinstrasse;28;7000;0;Chur;2758853.923;1191653.629;de
1741098;0;GR;3901;Chur;Julierweg;1;7000;0;Chur;2758897.807;1191501.809;de
1741099;0;GR;3901;Chur;Julierweg;3;7000;0;Chur;2758885.778;1191515.761;de
1741100;0;GR;3901;Chur;Julierweg;5;7000;0;Chur;2758872.396;1191528.288;de
1741101;0;GR;3901;Chur;Julierweg;7;7000;0;Chur;2758848.669;1191545.551;de
1741102;0;GR;3901;Chur;Julierweg;9;7000;0;Chur;2758835.382;1191558.473;de
1741103;0;GR;3901;Chur;Julierweg;11;7000;0;Chur;2758821.896;1191570.863;de
1741104;0;GR;3901;Chur;Julierweg;12;7000;0;Chur;2758858.189;1191577.966;de
1741105;0;GR;3901;Chur;Julierweg;14;7000;0;Chur;2758846.336;1191593.286;de
1741107;0;GR;3901;Chur;Florentinistrasse;7;7000;0;Chur;2758910.425;1191432.719;de
1741108;0;GR;3901;Chur;Florentinistrasse;8;7000;0;Chur;2758968.594;1191430.971;de
1741109;0;GR;3901;Chur;Florentinistrasse;9;7000;0;Chur;2758894.911;1191449.501;de
1741110;0;GR;3901;Chur;Florentinistrasse;10;7000;0;Chur;2758958.254;1191451.607;de
1741111;0;GR;3901;Chur;Florentinistrasse;12;7000;0;Chur;2758938.661;1191469.762;de
1741112;0;GR;3901;Chur;Florentinistrasse;14;7000;0;Chur;2758922.622;1191449.298;de
1741113;0;GR;3901;Chur;Segnesweg;1;7000;0;Chur;2758846.958;1191448.12;de
1741115;0;GR;3901;Chur;Segnesweg;10;7000;0;Chur;2758925.179;1191486.733;de
1741117;0;GR;3901;Chur;Rheinstrasse;64;7000;0;Chur;2758856.021;1191417.794;de
1741118;0;GR;3901;Chur;Rheinstrasse;65;7000;0;Chur;2758837.089;1191404.157;de
1741119;0;GR;3901;Chur;Rheinstrasse;67;7000;0;Chur;2758826.337;1191419.3;de
1741120;0;GR;3901;Chur;Rheinstrasse;69;7000;0;Chur;2758816.807;1191426.7;de
1741121;0;GR;3901;Chur;Rheinstrasse;71;7000;0;Chur;2758805.877;1191447.236;de
1741122;0;GR;3901;Chur;Rheinstrasse;72;7000;0;Chur;2758837.115;1191470.403;de
1741123;0;GR;3901;Chur;Rheinstrasse;73;7000;0;Chur;2758794.181;1191460.736;de
1741124;0;GR;3901;Chur;Rheinstrasse;74;7000;0;Chur;2758818.052;1191490.454;de
1741125;0;GR;3901;Chur;Rheinstrasse;75;7000;0;Chur;2758788.092;1191472.154;de
1741126;0;GR;3901;Chur;Rheinstrasse;76;7000;0;Chur;2758806.856;1191504.269;de
1741127;0;GR;3901;Chur;Rheinstrasse;77;7000;0;Chur;2758773.971;1191490.153;de
1741128;0;GR;3901;Chur;Rheinstrasse;80;7000;0;Chur;2758792.441;1191528.876;de
1741129;0;GR;3901;Chur;Rheinstrasse;81;7000;0;Chur;2758749.044;1191522.096;de
1741130;0;GR;3901;Chur;Rheinstrasse;82;7000;0;Chur;2758780.734;1191543.3;de
1741131;0;GR;3901;Chur;Rheinstrasse;86;7000;0;Chur;2758763.233;1191596.959;de
1741132;0;GR;3901;Chur;Rheinstrasse;92;7000;0;Chur;2758703.138;1191623.82;de
1741133;0;GR;3901;Chur;Rheinstrasse;83;7000;0;Chur;2758731.91;1191543.344;de
1741134;0;GR;3901;Chur;Rheinstrasse;85;7000;0;Chur;2758717.68;1191563.548;de
1741135;0;GR;3901;Chur;Rheinstrasse;87;7000;0;Chur;2758708.516;1191576.352;de
1741136;0;GR;3901;Chur;Rheinstrasse;89;7000;0;Chur;2758676.156;1191558.552;de
1741137;0;GR;3901;Chur;Rheinstrasse;91;7000;0;Chur;2758661.777;1191547.219;de
1741138;0;GR;3901;Chur;Segantinistrasse;1;7000;0;Chur;2758943.65;1191275.813;de
1741139;0;GR;3901;Chur;Segantinistrasse;2;7000;0;Chur;2758923.043;1191299.405;de
1741140;0;GR;3901;Chur;Segantinistrasse;3;7000;0;Chur;2758928.442;1191261.235;de
1741141;0;GR;3901;Chur;Segantinistrasse;5;7000;0;Chur;2758914.597;1191250.901;de
1741142;0;GR;3901;Chur;Segantinistrasse;6;7000;0;Chur;2758899.893;1191282.989;de
1741143;0;GR;3901;Chur;Segantinistrasse;8;7000;0;Chur;2758872.369;1191260.339;de
