Grundstueck-Nummer;EGID;Gebaeude-Koordinate X;Gebaeude-Koordinate Y;Gebaeude-Baujahr;Gebaeude-Kategorie;Gebaeude-Klasse-Nummer;Gebaeude-Klasse;Gebaeude-Flaeche;Gebaeude-Geschosse;Gebaeude-Strasse;Gebaeude-Hausnummer;Gebaeude-PLZ;Gebaeude-Ort
1313;001 741 260;2758511;1191388;1942;   ;Anz. separate Wohnräume;  ; ;2;Allemannweg;16;7000;Chur
5141;001 741 506;2758076;1191952;1965;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;544;4;Myrthenweg;11;7000;Chur
6116;001 740 618;2759718;1192415;1973;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;964;4;Giacomettistrasse;136;7000;Chur
5576;009 001 229;2758345;1192155;1972;Schul- und Hochschulgebäude,  Forschungseinrichtungen;1263;Forschungseinrichtungen Anz. Geschosse;372; ;Sardonastrasse;7;7000;Chur
4985;001 741 512;2758230;1192050;1963;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;253;5;Myrthenweg;31;7000;Chur
3624;001 739 898;2760244;1191519;1934;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;127  ;Gebäude mit zwei Wohnungen;3;Lürlibadstrasse;50;7000;Chur
12100;190 657 897;2759882;1193558;2012;106  ;Anz. separate Wohnräume;  ;106;2;Sonnenstutz;15;7000;Chur
;001 739 640;2759734;1193181;1965;Gebäude des Verkehrs- und  Nachrichtenswesens ohne Garagen;1241;Nachrichtenswesens ohne Garagen  ;3;Druckdatum:;Masanserstrasse;233;7000;Chur
6655;001 741 923;2758989;1192126;1989;64  ;Anz. separate Wohnräume;  ;64;3;Dreibündenstrasse;52;7000;Chur
6176;001 739 126;2759417;1190282;1974;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;131  ;Gebäude mit zwei Wohnungen;3;St. Antönienweg;14;7000;Chur
;001 740 383;2759762;1191888;1911;85  ;Anz. separate Wohnräume;  ;85;3;Lachenweg;4;7000;Chur
3476;400 017 705;2760538;1190511;1860;Sonstige Hochbauten, anderweitig  nicht genannt;1274;nicht genannt 28; ;1;Mittenberg;509;7000;Chur
5380;009 021 462;2760766;1191927;1971;164  ;Anz. separate Wohnräume;  ;164;2;Heckenweg;1;7000;Chur
6148;009 021 476;2760029;1193162;1991;90  ;Anz. separate Wohnräume;  ;90;2;Kirchgasse Masans;86;7000;Chur
5265;001 739 132;2759513;1190271;1974;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;131 4;Gebäude mit zwei Wohnungen;3;St. Antönienweg;24;7000;Chur
;001 740 397;2759706;1191773;1911;76 1;Anz. separate Wohnräume;1 ;76;3;Montalinstrasse;17;7000;Chur
4282;001 741 089;2758947;1191499;1942;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;107;3;Sennensteinstrasse;15;7000;Chur
